Country,Region,Year,Happiness Rank,Happiness Score,Economy,Family,Freedom,Health,Generosity,Trust
Brazil,Latin America and Caribbean,2016,17,6.952000000000001,1.08754,1.03938,0.40425,0.61415,0.15775999999999998,0.14165999999999998
Belgium,Western Europe,2016,18,6.9289999999999985,1.42539,1.05249,0.51354,0.8195899999999999,0.2424,0.26248
Ireland,Western Europe,2016,19,6.907,1.48341,1.16157,0.54008,0.81455,0.44963,0.29754
Luxembourg,Western Europe,2016,20,6.871,1.69752,1.03999,0.5487,0.8454200000000001,0.27571,0.35329
Mexico,Latin America and Caribbean,2016,21,6.778,1.1150799999999998,0.7146,0.37709,0.71143,0.11735,0.18355
Singapore,Southeastern Asia,2016,22,6.739,1.64555,0.8675799999999999,0.4877,0.94719,0.32706,0.46987
United Kingdom,Western Europe,2016,23,6.725,1.40283,1.08672,0.50036,0.80991,0.50156,0.27399
Chile,Latin America and Caribbean,2016,24,6.705,1.2167,0.90587,0.37789,0.8188300000000001,0.31595,0.11451
Panama,Latin America and Caribbean,2016,25,6.7010000000000005,1.18306,0.98912,0.48927,0.70835,0.2418,0.08423
Argentina,Latin America and Caribbean,2016,26,6.65,1.15137,1.0661200000000002,0.42284,0.69711,0.10989000000000003,0.07296
Czech Republic,Central and Eastern Europe,2016,27,6.596,1.30915,1.00793,0.41418,0.76376,0.09929,0.03986
United Arab Emirates,Middle East and Northern Africa,2016,28,6.573,1.57352,0.8711399999999999,0.56215,0.72993,0.26591,0.35561
Uruguay,Latin America and Caribbean,2016,29,6.545,1.18157,1.0314299999999998,0.54388,0.72183,0.18056,0.21394
Malta,Western Europe,2016,30,6.488,1.30782,1.09879,0.54994,0.80315,0.56237,0.17554
Colombia,Latin America and Caribbean,2016,31,6.481,1.03032,1.02169,0.44735,0.59659,0.15625999999999998,0.05399
France,Western Europe,2016,32,6.478,1.39488,1.00508,0.46562,0.83795,0.1216,0.17808
Thailand,Southeastern Asia,2016,33,6.474,1.0893,1.04477,0.49553,0.64915,0.58696,0.02833
Saudi Arabia,Middle East and Northern Africa,2016,34,6.379,1.48953,0.84829,0.37904,0.59267,0.15457,0.30008
Taiwan,Eastern Asia,2016,34,6.379,1.39729,0.92624,0.32377,0.79565,0.25495,0.0663
